epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1687,1.77752,2.29374,1.86356,0.64138,0.17159,0.39478,0.18361,1.92668,2.72744,2.11374,0.0670924,0.000165365,0.000165365
2,23.1419,1.63047,1.85622,1.77021,0.66783,0.3524,0.4819,0.16627,1.82846,1.97579,1.88853,0.0339257,0.000331995,0.000331995
3,34.0364,1.60077,1.72312,1.73564,0.7756,0.65683,0.70834,0.34193,1.59076,1.84883,1.66996,0.000758897,0.00049848,0.00049848
4,44.8919,1.55149,1.69053,1.74249,0.63512,0.68081,0.66362,0.30157,1.65489,1.91774,1.71571,0.000499509,0.000499509,0.000499509
5,55.6385,1.55835,1.62836,1.71911,0.766,0.77306,0.78173,0.44439,1.45364,1.39997,1.55887,0.000499128,0.000499128,0.000499128
6,66.3306,1.54768,1.65431,1.72238,0.71351,0.48708,0.57501,0.26834,1.7641,1.42837,1.75466,0.000498637,0.000498637,0.000498637
7,77.1165,1.50905,1.57311,1.6864,0.80316,0.80074,0.8296,0.46358,1.52555,1.3213,1.59365,0.000498039,0.000498039,0.000498039
8,87.8704,1.51109,1.53041,1.67284,0.78017,0.6679,0.73177,0.37862,1.62482,1.36361,1.64554,0.000497331,0.000497331,0.000497331
9,98.679,1.50206,1.55087,1.6749,0.64818,0.62546,0.55955,0.26038,1.56467,1.56921,1.61239,0.000496517,0.000496517,0.000496517
10,109.401,1.48366,1.47027,1.65994,0.64509,0.57011,0.54299,0.27609,1.56806,1.52331,1.63344,0.000495594,0.000495594,0.000495594
11,120.167,1.47857,1.44722,1.65901,0.86296,0.74354,0.80672,0.47955,1.49138,1.15841,1.50442,0.000494564,0.000494564,0.000494564
12,130.955,1.48502,1.43811,1.64377,0.87056,0.76937,0.83939,0.51191,1.43436,1.05108,1.4898,0.000493428,0.000493428,0.000493428
13,141.763,1.45922,1.42901,1.64109,0.77383,0.76384,0.75788,0.43581,1.54524,1.22498,1.58903,0.000492185,0.000492185,0.000492185
14,152.529,1.46212,1.43388,1.64248,0.84435,0.73063,0.76826,0.42485,1.58012,1.16519,1.63606,0.000490837,0.000490837,0.000490837
15,163.266,1.43515,1.39744,1.62427,0.7905,0.67528,0.71279,0.39618,1.45651,1.22883,1.53617,0.000489383,0.000489383,0.000489383
16,174.076,1.44838,1.40114,1.62141,0.84766,0.80074,0.82737,0.4985,1.39681,1.09489,1.47876,0.000487825,0.000487825,0.000487825
17,184.866,1.41654,1.34232,1.59432,0.8903,0.7786,0.84937,0.51905,1.45111,1.02123,1.5138,0.000486164,0.000486164,0.000486164
18,195.727,1.41152,1.356,1.59979,0.79845,0.76015,0.79275,0.45165,1.48579,1.10736,1.5321,0.000484399,0.000484399,0.000484399
19,206.481,1.41079,1.30723,1.5923,0.84631,0.78229,0.8259,0.47888,1.51557,1.09108,1.53621,0.000482532,0.000482532,0.000482532
20,217.369,1.41468,1.33173,1.59638,0.83858,0.78598,0.83692,0.49593,1.48469,1.02405,1.52718,0.000480563,0.000480563,0.000480563
21,228.221,1.40292,1.28419,1.59723,0.73732,0.75092,0.73327,0.41831,1.52772,1.22713,1.55921,0.000478494,0.000478494,0.000478494
22,239.018,1.37759,1.29419,1.57423,0.89197,0.80735,0.86161,0.51658,1.5172,0.95498,1.55701,0.000476326,0.000476326,0.000476326
23,249.777,1.38805,1.28175,1.57273,0.79346,0.76199,0.79361,0.45153,1.52029,1.12753,1.54299,0.000474058,0.000474058,0.000474058
24,260.594,1.38212,1.28009,1.5678,0.84763,0.82841,0.86472,0.51571,1.47061,0.95957,1.4901,0.000471693,0.000471693,0.000471693
25,271.369,1.3845,1.28419,1.5764,0.85251,0.78967,0.83746,0.52402,1.43445,0.97035,1.49285,0.000469231,0.000469231,0.000469231
26,282.113,1.36963,1.25277,1.57089,0.87045,0.79336,0.84632,0.53669,1.35888,0.98032,1.45854,0.000466674,0.000466674,0.000466674
27,292.928,1.36668,1.247,1.56323,0.8723,0.81919,0.86271,0.50542,1.51238,0.94283,1.55646,0.000464022,0.000464022,0.000464022
28,303.736,1.37387,1.21823,1.55345,0.86892,0.80812,0.87279,0.53553,1.44336,0.94739,1.5061,0.000461277,0.000461277,0.000461277
29,314.572,1.35606,1.21817,1.56626,0.84331,0.79151,0.81606,0.49505,1.48636,1.00287,1.53765,0.000458439,0.000458439,0.000458439
30,325.357,1.34997,1.21891,1.54738,0.89775,0.80996,0.86041,0.52328,1.53135,0.93855,1.56411,0.000455511,0.000455511,0.000455511
31,336.216,1.35379,1.22613,1.5653,0.83207,0.81919,0.84526,0.48549,1.54113,0.96388,1.57079,0.000452493,0.000452493,0.000452493
32,346.996,1.3534,1.21575,1.54875,0.88132,0.81919,0.87413,0.53181,1.46093,0.89903,1.50435,0.000449387,0.000449387,0.000449387
33,357.731,1.32986,1.17085,1.53273,0.86969,0.80812,0.86281,0.56166,1.3473,0.88916,1.42336,0.000446194,0.000446194,0.000446194
34,368.517,1.3247,1.14927,1.53556,0.84398,0.82841,0.85874,0.50129,1.56893,0.96415,1.56633,0.000442915,0.000442915,0.000442915
35,379.406,1.32931,1.20405,1.53219,0.77697,0.78413,0.80198,0.48863,1.45525,1.0358,1.4962,0.000439553,0.000439553,0.000439553
36,390.255,1.32848,1.15536,1.52603,0.9066,0.80588,0.87584,0.55736,1.42593,0.91766,1.5025,0.000436107,0.000436107,0.000436107
37,401.123,1.31863,1.12649,1.51691,0.86946,0.78413,0.83618,0.53658,1.31696,0.92003,1.43343,0.000432581,0.000432581,0.000432581
38,412.037,1.32403,1.13976,1.51867,0.84886,0.81734,0.86318,0.53345,1.46675,0.88996,1.50229,0.000428975,0.000428975,0.000428975
39,422.917,1.30775,1.1334,1.51089,0.85486,0.83579,0.86495,0.58467,1.24267,0.87931,1.37349,0.000425291,0.000425291,0.000425291
40,433.85,1.29547,1.14724,1.51206,0.89115,0.83026,0.88682,0.56107,1.40251,0.85132,1.45721,0.000421531,0.000421531,0.000421531
41,444.789,1.29994,1.11039,1.51016,0.8786,0.78782,0.8343,0.50005,1.38903,0.99249,1.45598,0.000417696,0.000417696,0.000417696
42,455.761,1.3126,1.14325,1.5182,0.79913,0.80074,0.80312,0.48478,1.38947,1.00765,1.45323,0.000413788,0.000413788,0.000413788
43,466.669,1.28785,1.11742,1.50622,0.86727,0.79705,0.85271,0.55942,1.29238,0.94115,1.41078,0.000409809,0.000409809,0.000409809
44,477.519,1.29321,1.10764,1.50402,0.82375,0.81919,0.84265,0.53208,1.34287,0.92346,1.44511,0.000405761,0.000405761,0.000405761
45,488.521,1.29502,1.08861,1.50224,0.86557,0.83948,0.86829,0.57422,1.25872,0.85623,1.40143,0.000401644,0.000401644,0.000401644
46,499.501,1.28025,1.10925,1.49153,0.88534,0.82472,0.87018,0.57067,1.31957,0.86536,1.40926,0.000397462,0.000397462,0.000397462
47,510.544,1.28434,1.11434,1.49448,0.81937,0.81181,0.83957,0.51769,1.42155,0.94872,1.50145,0.000393215,0.000393215,0.000393215
48,521.578,1.2688,1.08963,1.49265,0.86296,0.85978,0.88228,0.58086,1.31536,0.82621,1.40323,0.000388906,0.000388906,0.000388906
49,533.675,1.27636,1.08014,1.48999,0.88232,0.85424,0.88611,0.59385,1.2901,0.79873,1.41208,0.000384537,0.000384537,0.000384537
50,545.922,1.27158,1.06543,1.48238,0.87033,0.81734,0.86292,0.55884,1.36782,0.83905,1.45075,0.000380109,0.000380109,0.000380109
51,557.663,1.24373,1.05127,1.47514,0.80289,0.80417,0.80539,0.48364,1.42362,0.9657,1.50128,0.000375625,0.000375625,0.000375625
52,568.98,1.25993,1.06214,1.48029,0.91142,0.85424,0.90471,0.61701,1.25995,0.76859,1.37289,0.000371086,0.000371086,0.000371086
53,580.323,1.27632,1.04492,1.46863,0.87038,0.84244,0.88616,0.58204,1.33125,0.81395,1.39773,0.000366495,0.000366495,0.000366495
54,590.958,1.26228,1.06447,1.48008,0.88394,0.84309,0.88778,0.609,1.22808,0.79375,1.34199,0.000361853,0.000361853,0.000361853
55,601.599,1.25395,1.03605,1.45862,0.83144,0.80996,0.8383,0.53876,1.35171,0.88049,1.43978,0.000357163,0.000357163,0.000357163
56,612.249,1.25546,1.04235,1.47654,0.85039,0.7786,0.83346,0.52119,1.4593,0.92236,1.50698,0.000352426,0.000352426,0.000352426
57,622.883,1.25406,1.02964,1.46465,0.88533,0.82621,0.87806,0.56466,1.39357,0.8316,1.4455,0.000347645,0.000347645,0.000347645
58,633.476,1.25442,1.042,1.46646,0.85243,0.80996,0.86158,0.54371,1.40277,0.87477,1.47983,0.000342821,0.000342821,0.000342821
59,644.087,1.22416,1.01311,1.44932,0.88183,0.80074,0.85877,0.57358,1.30952,0.81887,1.41247,0.000337957,0.000337957,0.000337957
60,654.772,1.22453,1.01016,1.45067,0.8016,0.81181,0.84204,0.51374,1.41316,0.93519,1.47287,0.000333056,0.000333056,0.000333056
61,665.433,1.24052,1.02426,1.45275,0.82804,0.81734,0.8509,0.55442,1.26644,0.90535,1.38707,0.000328118,0.000328118,0.000328118
